,,,Overall,,,Conference,,,Points Per Game,,SRS,,Polls,,,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
116,Arkansas,SEC (West),9,4,0.692,4,4,0.5,30.9,22.9,11.54,4.62,21,,8,
117,Texas A&M,SEC (West),8,4,0.667,4,4,0.5,29.3,15.9,10.77,1.27,,6,5,
118,Mississippi State,SEC (West),7,6,0.538,4,4,0.5,29.1,25.9,5.01,3.48,,,,
119,Auburn,SEC (West),6,7,0.462,3,5,0.375,28.3,21.8,6.66,5.73,,,12,
120,LSU,SEC (West),6,7,0.462,3,5,0.375,26.5,26.6,4.74,5.28,,16,16,
121,Appalachian State,Sun Belt (East),10,4,0.714,7,2,0.778,34.5,22.1,7.28,-2.43,,,,
122,Coastal Carolina,Sun Belt (East),11,2,0.846,6,2,0.75,40.9,21.6,3.98,-8.94,,22,14,
123,Georgia State,Sun Belt (East),8,5,0.615,6,2,0.75,28.2,27.1,-0.83,-2.98,,,,
124,Troy,Sun Belt (East),5,7,0.417,3,5,0.375,22.8,26.1,-7.53,-4.03,,,,
125,Georgia Southern,Sun Belt (East),3,9,0.25,2,6,0.25,20.3,31.4,-12.01,-2.34,,,,
126,Louisiana,Sun Belt (West),13,1,0.929,9,0,1,31.1,18.5,6.32,-4.82,16,23,16,
127,Texas State,Sun Belt (West),4,8,0.333,3,5,0.375,23.1,33,-12.12,-5.7,,,,
128,South Alabama,Sun Belt (West),5,7,0.417,2,6,0.25,24.9,26.4,-6.56,-6.06,,,,
129,Louisiana-Monroe,Sun Belt (West),4,8,0.333,2,6,0.25,20.9,33.5,-9.82,-1.99,,,,
130,Arkansas State,Sun Belt (West),2,10,0.167,1,7,0.125,25.3,38.6,-14.3,-3.97,,,,
